verb,cluster
make,1
build,1
work,1
form,1
construct,1
create,1
produce,1
extend,2
expand,2
go,3
raise,4
push,4
encourage,4
promote,4
dedicate,5
devote,5
put,6
pour,6
spray,6
fill,6
remove,7
clear,7
steal,7
resign,7
keep,8
hold,8
separate,9
disassemble,9
scribble,10
illustrate,10
transcribe,10
perform,11
rehearse,11
appoint,12
classify,12
declare,12
assess,13
estimate,13
evaluate,13
hunt,14
search,14
stalk,14
investigate,14
eat,15
chew,15
gobble,15
dine,15
breathe,16
exhale,16
suffocate,16
snooze,16
escape,17
leave,17
run,17
rush,18
hurry,18
urge,19
beg,19
force,20
order,20
correlate,21
relate,21
care,22
empathize,22
