,relation,synonyms
0,set,"['dress', 'hardening', 'ready', 'circle', 'correct', 'stage_set', 'go_under', 'fit', 'fixed', 'located', 'dictated', 'adjust', 'readiness', 'coif', 'Seth', 'situated', 'solidifying', 'put', 'determined', 'do', 'set', 'solidification', 'hardened', 'countersink', 'rigid', 'mark', 'limit', 'determine', 'fructify', 'localise', 'jell', 'plant', 'lot', 'exercise_set', 'coiffure', 'gear_up', 'pose', 'laid', 'define', 'prepare', 'position', 'Set', 'lay', 'band', 'specify', 'sic', 'coiffe', 'typeset', 'primed', 'placed', 'arrange', 'congeal', 'bent', 'lay_out', 'set_up', 'go_down', 'curing', 'place', 'localize', 'rig', 'fix']"
1,portray,"['limn', 'depict', 'present', 'impersonate', 'portray']"
2,label,"['pronounce', 'label', 'mark', 'recording_label', 'judge', 'tag']"
3,guard,"['safety_device', 'precaution', 'safety', 'sentry_duty', 'safeguard', 'hold', 'defend', 'sentry_go', 'guard', 'guard_duty', 'ward']"
4,strait,"['pass', 'strait', 'sound', 'straits']"
5,catch,"['pinch', 'take_hold_of', 'fascinate', 'becharm', 'collar', 'match', 'view', 'overtake', 'trip_up', 'catch', 'snatch', 'snap', 'get', 'haul', 'gimmick', 'see', 'arrest', 'watch', 'captivate', 'enchant', 'pick_up', 'enamor', 'trance', 'capture', 'apprehension', 'hitch', 'bewitch', 'charm', 'overhear', 'stop', 'enamour', 'grab', 'beguile', 'entrance', 'take_in', 'taking_into_custody', 'catch_up_with']"
6,circulate,"['diffuse', 'circulate', 'pass_around', 'circle', 'broadcast', 'pass_on', 'mobilise', 'go_around', 'disperse', 'circularise', 'disseminate', 'distribute', 'circularize', 'spread', 'mobilize', 'propagate']"
7,divide,"['dissever', 'watershed', 'part', 'split', 'water_parting', 'divide', 'carve_up', 'separate', 'disunite', 'split_up', 'fraction']"
8,govern,"['regulate', 'regularise', 'order', 'govern', 'rule', 'regularize']"
9,allow,"['admit', 'leave', 'take_into_account', 'provide', 'set_aside', 'give_up', 'grant', 'appropriate', 'allow_for', 'countenance', 'reserve', 'let', 'tolerate', 'earmark', 'allow', 'permit']"
10,put,"['assign', 'redact', 'set', 'invest', 'order', 'pose', 'commit', 'put_option', 'arrange', 'frame', 'put', 'cast', 'couch', 'set_up', 'position', 'place', 'lay']"
11,manufacture,"['manufacture', 'invent', 'fabricate', 'construct', 'manufacturing', 'fabrication', 'cook_up', 'make_up', 'industry']"
12,census-designate,[]
13,utilise,"['utilise', 'employ', 'apply', 'use', 'utilize']"
14,ignore,"['brush_aside', 'brush_off', 'ignore', 'cut', 'discount', 'push_aside', 'disregard', 'snub', 'dismiss', 'neglect']"
15,market,"['grocery', 'grocery_store', 'food_market', 'securities_industry', 'commercialise', 'market_place', 'marketplace', 'market', 'mart', 'commercialize']"
16,sleep,"['rest', 'eternal_rest', ""log_Z's"", 'sleep', ""catch_some_Z's"", 'slumber', 'sopor', 'nap', 'eternal_sleep', 'kip', 'quietus']"
17,build,"['progress', 'build_up', 'make', 'form', 'habitus', 'frame', 'figure', 'human_body', 'work_up', 'build', 'anatomy', 'chassis', 'material_body', 'soma', 'physical_body', 'establish', 'shape', 'bod', 'body-build', 'ramp_up', 'construct', 'physique', 'flesh']"
18,travel,"['trip', 'change_of_location', 'locomotion', 'travel', 'locomote', 'traveling', 'jaunt', 'move_around', 'journey', 'go', 'travelling', 'move']"
19,dove,"['dive', 'Columba', 'dove', 'Dove', 'squab', 'plunge', 'plunk', 'peacenik']"
20,possess,"['possess', 'own', 'posse', 'posse_comitatus', 'have']"
21,trail,"['shack', 'train', 'hang_back', 'dog', 'lead', 'go_after', 'chase', 'trail', 'chase_after', 'give_chase', 'drop_back', 'tail', 'drop_behind', 'tag', 'track', 'drag', 'get_behind']"
22,campaign,"['effort', 'press', 'agitate', 'take_the_field', 'political_campaign', 'military_campaign', 'fight', 'movement', 'run', 'cause', 'push', 'campaign', 'safari', 'hunting_expedition', 'crusade', 'drive']"
23,tremen,[]
24,enjoy,"['delight', 'savour', 'bask', 'revel', 'love', 'relish', 'enjoy', 'savor']"
25,detail,"['item', 'point', 'particular', 'detail', 'contingent']"
26,seek,"['try', 'search', 'look_for', 'essay', 'attempt', 'assay', 'seek']"
27,flounder,"['flounder', 'stagger']"
28,retake,"['recapture', 'retake']"
29,hold,"['carry', 'admit', 'check', 'time_lag', 'withstand', 'make', 'bear', 'hold', 'harbour', 'reserve', 'take', 'control', 'defy', 'retain', 'adjudge', 'contain', 'clench', 'bind', 'custody', 'give', 'clutch', 'appreciation', 'throw', 'clasp', 'have', 'grasp', 'detainment', 'storage_area', 'sustain', 'cargo_area', 'handgrip', 'harbor', 'arrest', 'take_for', 'concur', 'grip', 'wait', 'accommodate', 'book', 'hold_back', 'hold_up', 'keep_back', 'halt', 'declare', 'clutches', 'entertain', 'confine', 'defend', 'guard', 'obligate', 'support', 'view_as', 'curb', 'cargo_deck', 'have_got', 'detention', 'prevail', 'go_for', 'obtain', 'moderate', 'hold_in', 'oblige', 'maintain', 'deem', 'cargo_hold', 'apply', 'concord', 'postponement', 'restrain', 'agree', 'take_hold', 'delay', 'handle', 'nurse', 'keep']"
